"Gene","Macrophages","Monocytes","Kupffercells","Microglialcells","DominantCell"
"PROK2",12.2,2.8,5.1,0,"macrophages"
"PRR7",8.3,22.5,4,0.9,"monocytes"
"PSCA",3.8,0,0.2,0,"none"
"PSME2",214.3,315,118.9,2.7,"none"
"PTGDR2",0.4,7.6,0,1.8,"monocytes"
"PTGER1",0.2,0.4,0.2,0,"none"
"PTGER2",35.1,108.6,30.2,0,"monocytes"
"PTGER3",4.9,0,0,0,"none"
"PTGER4",94.2,379.9,39.7,3.6,"monocytes"
"PTGS2",272,363.4,26.2,3.6,"monocytes;macrophages"
"PYCARD",349.1,323.1,424.6,12.5,"none"
"QPCT",24.8,3.7,16.5,6.3,"macrophages;kupffer"
"RAB44",1.2,1.3,0.5,0,"none"
"RAMP1",12.5,5.2,9.6,12.5,"none"
"RBP7",51.8,56.2,429.2,0.9,"kupffer"
"RETN",70.5,79.4,48.2,0,"none"
"RGL4",2.4,44.4,2.9,0,"monocytes"
"RGS2",577.6,1612.9,334.4,8.1,"monocytes"
"RHOH",22.5,20.4,3.5,8.1,"macrophages;monocytes"
"RIPOR2",64.5,261.9,156.4,19.7,"monocytes;kupffer"
"RNASE2",68.7,2,220.6,0,"kupffer"
"RNASE6",253.9,13.7,438.5,1.8,"kupffer;macrophages"
"RNASET2",423.7,589.7,434.5,108.3,"none"
"RNF20",19.9,20.8,23.2,8.1,"none"
"RPL17",395.6,197.7,326.1,0,"none"
"RPL36A",339.8,609.7,1173.8,0,"none"
"RPS15",2678.8,3848.2,4141,34,"none"
"S100A10",1358.5,1419.5,802.6,26.8,"none"
"S100A12",386.5,9.3,667.6,0.9,"kupffer;macrophages"
"S100A6",3158.7,3453.6,2465.3,28.6,"none"
"S100A8",3455.3,196.9,6254.3,0,"kupffer;macrophages"
"S100A9",3943.8,825.2,7064.8,0,"kupffer;macrophages"
"S100P",9.8,11.7,16.7,0,"none"
"SAT1",4054.2,14325.5,3870.7,204,"monocytes"
"SDS",79.2,10.4,42.8,0,"macrophages;kupffer"
"SELL",66.8,37.3,81.4,0.9,"none"
"SELP",0.2,0.4,0.2,0,"none"
"SEMA7A",6.4,0.4,0,0,"macrophages"
"SERPINB3",4.4,0,0,0,"none"
"SERPINB9",228.3,1175.6,58.5,88.6,"monocytes"
"SERPINH1",24.9,1.5,6.7,17.9,"macrophages;microglial"
"SHISAL2A",4.3,0.4,0.7,1.8,"none"
"SIGLEC1",44.5,1.1,63.6,3.6,"kupffer;macrophages"
"SLAMF7",21.7,69.2,7.8,0.9,"monocytes"
"SLAMF8",39.8,1.7,19.9,0.9,"macrophages"
